metro_area_city,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,average_listing_price,total_listing_count,year
"defiance, oh",137189.2857,77.83333333,66.58333333,30.33333333,1.333333333,21.33333333,42.66666667,165316.4887,120.5,2019
"del rio, tx",184191.6667,142.4166667,96.5,34.33333333,0.333333333,18.66666667,21.25,211149.7876,163.6666667,2019
"deltona-daytona beach-ormond beach, fl",289412.4286,6567.166667,76,1907,149,1881.666667,1406.583333,409018.5355,7973.75,2019
"deming, nm",137939.881,136.5833333,119.8333333,17.33333333,0,15.33333333,14.41666667,197107.8379,151,2019
"denver-aurora-lakewood, co",504546.8929,7635.75,41.29166667,4697.666667,264.3333333,3606.333333,6271.666667,670959.9893,13907.41667,2019
"deridder, la",195196.4286,198.6666667,92.41666667,42.33333333,1,31,10,219466.1066,208.6666667,2019
"des moines-west des moines, ia",278551.9464,3281.833333,73.29166667,1073.333333,159.6666667,1414.333333,1736.75,313067.8558,5018.583333,2019
"detroit-warren-dearborn, mi",242484.1905,13758,47.08333333,6616,226.6666667,4511,1536.333333,332367.2667,15294.33333,2019
"dickinson, nd",255835.119,179.8333333,79.75,51.66666667,0,29,82.25,275097.15,262.0833333,2019
"dixon, il",141490.4762,155.4166667,82.95833333,42,0,37.66666667,48.66666667,194979.8945,204.0833333,2019
"dodge city, ks",157671.4286,92.16666667,73,23.66666667,0,13.66666667,8.25,180228.487,100.4166667,2019
"dothan, al",185027.381,754.75,89.54166667,184,5.333333333,132.6666667,44.91666667,240418.8833,799.6666667,2019
"douglas, ga",147430.9524,108.1666667,131.4583333,17,0.333333333,16,0.833333333,213933.3952,109,2019
"dover, de",270296.1309,677.1666667,87.45833333,191.3333333,26.66666667,138.3333333,43.33333333,281407.6724,720.5,2019
"dublin, ga",139829.4643,319.6666667,123.0833333,58,0.666666667,29,32.58333333,160932.8988,352.25,2019
